episode;date;rating;title;summary
S03E10;1991-11-21;8.8;Flaming Moe's;Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.
S03E11;1991-12-05;8.2;Burns Verkaufen der Kraftwerk;Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.
S03E12;1991-12-26;8.3;I Married Marge;As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.
S03E13;1992-01-09;8.5;Radio Bart;After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.
S03E14;1992-01-23;8.0;Lisa the Greek;Homer uses Lisa (and her prognostic skills) to help him bet on football games.
S03E15;1992-02-06;8.0;Homer Alone;While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.
S03E16;1992-02-13;8.3;Bart the Lover;After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.
S03E17;1992-02-20;8.7;Homer at the Bat;Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.
S03E18;1992-02-27;8.2;Separate Vocations;Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.
S03E19;1992-03-12;7.7;Dog of Death;After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.
S03E20;1992-03-26;8.0;Colonel Homer;Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.
S03E21;1992-04-09;8.3;Black Widower;Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.
S03E22;1992-04-23;7.7;The Otto Show;After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.
S03E23;1992-05-07;7.7;Bart's Friend Falls in Love;Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.
S03E24;1992-08-27;8.2;Brother, Can You Spare Two Dimes?;After Homer "wins" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.
